Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist (m/f/d),-1,"We think strategically and act pragmatically. True to this brand promise, our consultants effectively implement tailored concepts for more than 200 clients a year. Established in 1994, today Porsche Consulting GmbH is ranked as one of the top management consultancies in Germany with branches in Munich, Stuttgart, Hamburg, Berlin, Milan, Sao Paulo, Atlanta and Shanghai. More than 500 passionate consultants and business service professionals help our clients – from large and medium-sized companies to multinational corporations – achieve measurable results and are enthusiastic about change. They represent us. They make us proud.

Further information is available here: www.porsche-consulting.de


Data Scientist (m/f/d)


Code number: PCO-D-1590583344-E
Entry level: Professionals
Location:
Berlin, Bietigheim-Bissingen, Frankfurt am Main, Hamburg, München, Stuttgart
Organization:
Porsche Consulting GmbH

Tasks

Would you like to work on data-driven solutions as a member of committed teams within national and international contexts? Do you enjoy developing durable solutions that generate a direct impact for our customers in collaboration with a diverse set of consultants and data experts? We are looking for dedicated candidates (m/f/d) with experience in the area of AI & Data Analytics for our Data Analytics Consulting Team.

The following topics are of specific interest:
Development and implementation of data analytics & artificial intelligence use cases in the mobility, industrial goods, services and/or consumer goods sectors
Application of advanced data science methods (data modeling, analysis and visualization) for processing real world data in a business context
Enhance business impact through the use of data analysis and support for decision makers
Development of creative concepts from problem to implementation (e.g. in the areas of stability analyses, predictions, scenario modeling and causal analyses)
Active collaboration in the strategic development of our data analytics team

Qualifications

Major in STEM (Science, Technology, Engineering and Mathematics), ideally including MBA or doctorate
2+ years of professional experience developing solutions to business problems with advanced analytics
Demonstrable expertise in the areas of analytical methods and technologies (e.g. machine learning, optimization, operations research and predictive modeling) and selected frameworks (e.g. TensorFlow, PyTorch, Scikit-learn)
Expertise in mixed integer optimization and/or natural language processing is preferred
5+ years of experience in data management and analytics platforms/programming (e.g. SQL, R, Python, Tableau)
Willingness to travel (traveling domestic and abroad)
Excellent command of English and German, where additional language skills are a distinct advantage

Exclusive look behind the scenes

Induction – three-week training phase (warm-up) and mentoring program in the first six months
Development – regular perspective feedback discussions and two training weeks per year
Atmosphere – team events, such as e.g. skiing, Porsche driving experiences or the Porsche Consulting weekend is an annual highlight
Flexibility – free selection the office location, home office days and sabbaticals
Added benefits – diverse and multicultural environment, support for doctorates and MBA programs as well as Porsche/VW leasing
Exclusive insights into the work of Porsche Consulting can also be found on our Jobs & Career profiles on social networks:

Porsche Consulting on LinkedIn

How to apply?

Please complete our online application form in full and attach your application documents (cover letter, CV, references) at the end. Please enter your salary requirement and desired location.

Further information about joining Porsche Consulting is available on our website:

Your career as a professional at Porsche Consulting

Contact

Any questions on your application for Porsche Consulting? Our HR team is available to answer your questions from Monday to Friday between 3 pm and 7 pm on 0711 / 911 - 1 21 57.

Apply online now
: https://jobs.porsche.com/index.php?ac=login&jobad_id=23600",4.3,"Porsche
4.3",Berlin,"Stuttgart, Germany",10000+ employees,1931,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),"Audi, BMW, Daimler"
Senior Data Scientist (m/f/d),-1,"In Global Business Services, we support BASF's divisions with a cross-functional network. As a dedicated service unit, we provide solutions as required by the company with a strong customer focus. In three regional service delivery units and six global service clusters, we offer our services in a needs-based, efficient, effective and solutions-oriented manner.

RESPONSIBILITIES

The Data Science team in the Global Technology Unit as part of the BASF Global Business Services implements new solutions and algorithms to improve and extent our services together with Data Analysts in the Service Delivery Units. This includes creating a framework for use case management, getting privileged access to expert databases and tools, sharing of best practices as well as the technical implementation of use cases. As Senior Data Scientist you will:
coordinate the Data Science team and you are responsible for the technical set-up.
identify and shape use cases together with business partners to achieve measurable results.
help improve and extent our technical toolbox by adding new functionalities, e.g. predictive models.
assure process and output quality by regularly checking relevant use case parameters.
actively share learnings and best practices to increase the added value of our team.
QUALIFICATIONS
completed PhD or Master´s degree in computer science, applied mathematics, statistics, machine learning or other data centric disciplines
about 3 years business experience in process optimization, experience in applying statistical and predictive models and strong analytical ability
advanced knowledge of machine learning algorithms, scripting languages and tools (e.g. Python, R, Spark, Cybernetic Cluster, Azure DevOps, AWS etc.)
advanced project management skills
effective and confident communication in English
willingness to take responsibility and demonstrate persistence in order to achieve goals and exceed expectations, even in tough situations
Please indicate in your application documents your salary requirements and your earliest possible starting date.
BENEFITS
Development discussions and programs so that you can reach your full potential.
Health and wellbeing programs to help you achieve better health and work-life balance.
Flexible work arrangements so that you can balance your working life and private life.
Onboarding to help you settle in quickly, ensuring you are part of the BASF team from day one.
ABOUT US

Do you have any questions about the application process or the position? Ms. Isabelle Bludau (Talent Acquisition) Phone no.: +49 (0)30 2005 59773

Please note that we do not return paper applications including folders. Please submit copies only and no original documents.

BASF Services Europe GmbH can be found in the heart of Berlin and delivers a range of services for the BASF Group across Europe as a ""Shared Service Center"". We are an international team of 2000 employees from more than 50 nations and we bring together know-how in the areas of finance, controlling, HR, procurement, product safety and digitalization. We place an emphasis on teamwork and commitment and put diversity and inclusion into practice every day.

Learn more about the SSC at http://www.on.basf.com/ServicesEuropeEN

At BASF, the chemistry is right. Because we are counting on innovative solutions, on sustainable actions, and on connected thinking. And on you. Become a part of our formula for success and develop the future with us - in a global team that embraces diversity and equal opportunities irrespective of gender, age, origin, sexual orientation, disability or belief.",4.0,"BASF
4.0",Berlin,"Florham Park, NJ",10000+ employees,1865,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),"Dow, Eastman"
Data Scientist (m/w/d),-1,"Ihre Aufgabe:
Sie führen Data Science und Datenanalyse Projekte bei unseren Kunden durch. Das beinhaltet sowohl das Projektmanagement, als auch die Durchführung der Datenanalyse an sich.

Data Science Projekte durchführen.
Datenerhebung, Datenaufbereitung und Datenanalyse.
Entwicklung und Anwendung von State-of-the-Art Algorithmen aus den Bereichen Machine Learning, Statistical Modeling, Data Mining und AI.
Kommunikation mit Kunden auf fachlicher und operativer

Ihr Profil:
Abgeschlossenes Masterstudium (gern auch mit Promotion) der (Wirtschafts-)Mathematik, (Wirtschafts-)Informatik, (Bio-)Statistik oder einer vergleichbaren Fachrichtung, idealerweise mit einem Schwerpunkt im Bereich Data Science oder Machine Learning
Min. 1 Jahr Berufserfahrung in Data Science Projekten
Sehr gute Programmierungserfahrung mit Python und R
Sehr gute Kenntnisse in der Anwendung und Nutzung statistischer Methoden, Verständnis von Machine-Learning-Algorithmen (z. B. Clustering, Regressionsverfahren, Support Vector Machines, Decision Trees und Random Forests, Text Mining und Neuronale Netze)
Erfahrungen mit Big Data Architekturen (Apache Hadoop, Hive, Spark) sind ein Plus
Erfahrungen im Projektmanagement sind von Vorteil
Sehr gute Englischkenntnisse (C1) und gute Deutschkenntnisse (B1)
Reisebereitschaft
Selbstständiges Arbeiten
Hohe Motivation und Engagement
Hohe Teamfähigkeit

Ihre Chancen:
Arbeiten in einem dynamischen Unternehmen im Herzen von Berlin, das aufgrund von flachen Hierarchien große Gestaltungsmöglichkeiten Ihres Arbeitsumfeldes bietet.
Spannendes Arbeiten in einem internationalen Umfeld und Team.
Herausforderndes Arbeiten in einem Unternehmen, das Sie fordert und fördert.
Senden Sie Ihre Bewerbung zu Händen von Stefanie Supper an jobs@supperundsupper.com.*",3.5,"Supper & Supper GmbH
3.5",Berlin,"Cachoeirinha, Brazil",Unknown,2007,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Data Scientist (m/w/d),-1,"Gemeinsam mit unserem Partner Tchibo Coffee Service, bei dem sich alles rund um das Thema Kaffee im B2B-Geschäft dreht, suchen wir einen Data Scientist (m/w/d) für den Standort Hamburg.

Der Marktführer für professionelle Kaffeeversorgung im Unternehmensumfeld hat sich mit dem Aufbau eines Innovation Hubs das Ziel gesetzt, die digitalen Transformationsprozesse voranzutreiben.

Du bist Visionär, besitzt Innovationskraft und möchtest den digitalen Wandel bei unserem Partner aktiv mitgestalten? Dann bist Du der ideale Kandidat für diese Position!

Aufgaben
Du bist für die Analyse und Optimierung der Customer Intelligence auf Basis von Unternehmens- und Geschäftsdaten zuständig
Du treibst den digitalen Wandel im Unternehmen voran und verbesserst die Entwicklung des Multichannel-Marketings
Du bringst ein dynamisches Mindset mit und trägst dazu bei, eine agile Unternehmenskultur zu etablieren
Du bist für die Einführung und Optimierung neuer und digitaler Geschäftsmodelle zuständig
Du verantwortest die Entwicklung von Prototypen und agierst als Technologie- und Innovationsexperte
Qualifikation
Abgeschlossenes Studium im Bereich der Wirtschaftswissenschaften/der Naturwissenschaften oder einer vergleichbaren Fachausbildung
Idealerweise Berufserfahrung im E-Commerce, B2B-Umfeld und/oder in der Marketingbranche
Ausgeprägte Kenntnisse im Bereich Data Modeling und/oder Data Analytics
Versiert im Umgang mit agilen Projektmanagementmethoden (z.B. Scrum, KANBAN, etc.)
Sehr gute analytische Fähigkeiten sowie eine hohe Affinität zu Zahlen und Daten
Verantwortungsbewusstes und sicheres Auftreten sowie ausgeprägte Hands-on Mentalität
Benefits
Work-Life-Balance wird großgeschrieben: Freizeitzentrum, Fitnesscenter, Schwimmbad vorhanden und diverse Sportkurse werden angeboten
Viele zusätzliche Sozialleistungen (z.B. VwL, BaV.)
30 Tage Urlaub, flexible Arbeitszeiten und Home-Office
Dienstwagen inklusive Tankkarte zur privaten Nutzung und Firmenhandy
Großes Angebot an internen und externen Weiterbildungsmöglichkeiten (eigene Trainingsakademie)
Mitarbeiterrestaurant, Mitarbeiterrabatte und ein monatliches Kaffeedeputat
Werde Teil des Teams und bewirb Dich! Dein Ansprechpartner ist Robin Brüggemann. Wir freuen uns schon darauf, Dich kennenzulernen!",4.4,"PALTRON GmbH
4.4",Hamburg,"Hamburg, Germany",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Data Scientist (w/m/d),-1,"Interessieren Sie sich für Algorithmen und Analysen und sind sicher im Umgang mit einer Data-Science-nahen Programmierumgebung- Sehen Sie Ihre Zukunft im Bereich Big Data- Dann machen Sie Ihren entscheidenden Karriereschritt, bewerben Sie sich bei Brunel und erleben Sie mit uns die Vielfalt des Engineerings. Denn wir suchen Sie als Data Scientist.

Arbeitsbeschreibung:
Sie entwickeln Daten- und Algorithmen basierte Methoden zur Lösung komplexer und ungewöhnlicher Zusammenhänge.
Dazu verbinden Sie Technologien, Konzepte und Statistik zu innovativen Lösungen, die sich vom Prototyp bis hin zur skalierbaren Unternehmenslösung entwickeln können.
Darüber hinaus bearbeiten Sie große strukturierte und unstrukturierte Daten auf und analysieren sie, dabei erkennen Sie Muster und wenden Verfahren aus den Bereichen Data-Mining, Predictive-Analytics und Machine-Learning spielend an.
Ebenso identifizieren und bewerten Sie unbekannte Beziehungen in Daten, um businessrelevante Erkenntnisse zu gewinnen und sind für die Durchführung explorativer Datenanalysen in komplexen Datenstrukturen zuständig.
Sie wählen passende Visualisierungs- und Analyse-Tools aus und entwickeln die Big Data & Analytics-Landschaft aktiv weiter.
Ihr Profil:
Studium der Informatik/Mathematik/Physik oder ein vergleichbares naturwissenschaftliches Studium sowie Knowhow in der Datenanalyse und grundfundierte Statistik- Mathematik Kenntnisse
Gute Kenntnisse in mindestens einer Data-Science-nahen Programmierungsumgebung wie R, Python, Matlab (oder ähnliche) und Erfahrung in relationalen Datenbanken und NoSQL-Datenbanken sowie mit Apache Hadoop Frameworks
Praktische Erfahrungen mit Advanced-Analytics-Methoden wie Data-Mining, Predictive- Analytics oder Machine-Learning
Fließende Deutsch- und Englischkenntnisse
Wir bieten:
Bei uns arbeiten Sie unbefristet und in Festanstellung. Darüber hinaus bieten wir Ihnen einen Haustarifvertrag, der auf die Gehaltsstrukturen der verschiedenen Berufsgruppen zugeschnitten ist und Qualifikation sowie Berufserfahrung honoriert. Neben den tariflich gesicherten Sozialleistungen eines expandierenden Unternehmens bieten wir Ihnen die Möglichkeit, sich entsprechend Ihres individuellen Erfahrungsschatzes persönlich und fachlich weiterzubilden.

Über Brunel:
Arbeiten bei Brunel bedeutet: Attraktive Arbeitsaufgaben, außergewöhnliche Karriereperspektiven, die Sicherheit eines expandierenden Ingenieurdienstleisters und die ganze Vielfalt des Engineerings. Allein in Deutschland verfügen wir über 49 Niederlassungen, zwei Entwicklungszentren und weltweit 120 Standorte mit mehr als 13.000 Mitarbeitern in 46 Ländern. Mehr als 45 Jahre international erfolgreich und über 25 Jahre in Deutschland. Stillstand bedeutet Rückschritt mit Brunel können Sie etwas bewegen!",3.9,"Brunel GmbH
3.9",Hannover,"Amsterdam, Netherlands",10000+ employees,1975,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),-1
Data Scientist (m/w/d),-1,"Standort(e): Berlin, Düsseldorf, Frankfurt Frankfurt am Main, Hamburg, Köln, München, Stuttgart

Thementreiber und Unternehmertypen gesucht.

Wir führen unsere Klienten mit Wissen zum Wettbewerbsvorsprung. Mit Pioniergeist und Beratern, die Macher sind. Weil wir glauben, dass Digitalisierung und Transformation eine neue Form der Beratung erfordert. Jeder dritte DAX-Konzern, die wichtigsten Bundesbehörden und beweglichsten Mittelständler vertrauen uns in der Business-, IT-Strategie-, Technologie- und Projektberatung. Laut Wirtschaftsmagazin brandeins zählt Cassini zu den besten Unternehmensberatungen Deutschlands.

Wir bauen aktuell einen neuen Leistungsbereich für Data Science auf, um Unternehmen dabei zu unterstützen, ihre (Big) Data- und Predictive Analytics-Funktionen zu nutzen, um Benutzerdaten kreativ zu analysieren, Risikomodelle bereitzustellen und neue datengetriebene Produkte zu entwickeln. Werde Teil des Data Science-Team, welches von Dominik Kalisch, eine Koryphäe in diesem Bereich, geleitet wird! Für unser Team suchen wir Data Science Consultants, Data Analytics Consultants, Data Engineering Consultants und UX Designer.

Werde Teil von Cassini

Du hast eine Mission:
Du gibst alles, um schwierige Analyseprobleme zu lösen, die Zukunft strategisch zu gestalten und digitale Services und Lösungen bereitzustellen, um die analytischen Grenzen in der Industrie zu verschieben.
Du bist geschätzter Ansprechpartner für das Management unserer Klienten und führst anspruchsvolle Projekte eigenverantwortlich zum Erfolg.

Du bist Könner:
Du hast mehrere Jahre Erfahrung im Bereich Data Analytics und/oder Data Science.
Du bist vertraut mit fortschrittlicher Analyse, Definition der Strategie, Verknüpfung der Analyse mit finanziellen und operativen Ergebnissen, Aufbau von Kundenbeziehungen und Entwicklung innovativer Daten- und Geschäftslösungen.
Du kommst aus einem datengetriebenen Bereich wie z.B. Mathematik, Physik, Ingenieurswesen, Statistik, Marktforschung, Sozialwissenschaft etc.
Du hast breite und umfassende technische Fähigkeiten in einem oder mehreren der folgenden Bereiche:
R
Python
Julia
RegEx
Linux/Unix
Plotly
ETL
SQL/NoSQL
Du liebst Statistik.
Du bist durch und durch Analytiker.
Auch als Nichtmuttersprachler sind gute Deutschkenntnisse für Dich selbstverständlich.

Wir führen Dich an die Spitze, damit Du die digitale Transformation unserer Kunden anführen kannst – fachlich und persönlich. Hierfür bieten wir Dir:

Eine selbstbestimmte und eigenverantwortliche Arbeitsatmosphäre.
Die Möglichkeit, von Anfang an, das Data Science-Team mitzugestalten und Deine Ideen einzubringen und unsere Kunden voranzubringen.
Ein auf Dich zugeschnittenes Weiterbildungsangebot in der Cassini Akademie.
Raum für die Entwicklung eigener Ideen in unseren GreenLabs.
Ein persönliches, institutionalisiertes Mentoring durch Deinen Cassini-Buddy.
Ein transparentes Vergütungskonzept.
Regelmäßigen Austausch mit allen Cassinis auf unseren Lectures.
Klare Meilensteine auf dem Weg zum Partner oder dem eigenen Unternehmen.",4.5,"Cassini Consulting
4.5",Berlin,"Dusseldorf, Germany",51 to 200 employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
Data Scientist (m/w/d),-1,"Für unseren Hamburger und Münchener Standort suchen wir einen Data Scientist (m/w/d).

Deine Aufgaben:
Du gestaltest zielstrebig herausfordernde Data Science-Projekte in einem interdisziplinären Team.
Du erkennst die Bedürfnisse Deines Kunden und entwickelst effektive, datengetriebene Lösungen.
Aus den Datenschätzen Deiner Kunden und externen Quellen identifizierst Du die für die Aufgabenstellung entscheidenden Daten.
Du konzipierst innovative Lösungen mithilfe moderner Methoden aus den Bereichen Statistik, Machine Learning und mathematischer Optimierung.
Du kommunizierst Deine Ergebnisse erfolgreich in Deinem Team und bei Deinem Kunden.
Das bist Du:
Du hast ein abgeschlossenes Studium der (Wirtschafts-) Informatik, Statistik, Mathematik oder eines vergleichbaren Studiengangs mit starkem mathematischem Fokus.
Sehr gutes analytisches und konzeptionelles Denkvermögen, ausgeprägtes Verständnis für Datenanalyse und grundlegende Kenntnisse der Softwareentwicklung
Erste Erfahrungen im Bereich Data Science / Advanced Analytics
Beherrschung einer gängigen Analytics-Toolbox, insbesondere R oder Python (inkl. relevanter Bibliotheken)
Wünschenswert wären SQL-Kenntnisse, erste Erfahrungen mit Hadoop oder Spark sowie Cloudumgebungen wie AZURE oder AWS.
Du nimmst Herausforderungen engagiert an, hast Freude an projektbezogener Arbeit, bist verantwortungsbewusst und teamfähig.
Du kommunizierst mit unseren Kunden souverän auf Deutsch und Englisch.
Das bieten wir Dir:
Du arbeitest in nationalen und internationalen Projekten bei bekannten Unternehmen aller Größenordnungen und Branchen mit.
Von Anfang an bist Du ein vollwertiges Teammitglied und Deine Meinung ist gefragt.
Du kannst Dich regelmäßig in- und extern weiterbilden.
Hohe Eigenverantwortung und Freiräume in der Gestaltung Deiner Arbeitsweise.
Flexible Arbeitszeiten und -orte wie Home-Office sind selbstverständlich.
Einen Mobilitätszuschuss, der sich sehen lassen kann – sowie ein modernes Büro mitten auf St. Pauli oder in der Münchner Altstadt.
Du erhältst eine attraktive Vergütung sowie die neuesten Arbeitsmittel.
Mit flachen Hierarchien und regelmäßigen internen Events bist Du sofort ein Teil unseres Teams.
Bewerbung:

Wir haben Dein Interesse geweckt? Dann sende uns Deine vollständigen Bewerbungsunterlagen (möglichst in einer PDF-Datei) mit Deinem Gehaltswunsch, Starttermin und bevorzugten Standort.

Für Fragen vorab steht Dir Marie Enkelmann gerne telefonisch unter 040/46 89 96 423 zur Verfügung. Wir freuen uns von Dir zu hören!",3.9,"SDG Group
3.9",Hamburg,"Milano, Italy",501 to 1000 employees,1997,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
Research Scientist (w/m/d),-1,"ist bereits jetzt ein weltweit bekanntes Unternehmen. Wir entwickeln neuronale Netze, die Menschen beim Umgang mit Sprache unterstützen. Mit dem DeepL Übersetzer haben wir die international beste Computerübersetzung auf den Markt gebracht und stellen sie für jeden im Internet kostenlos zur Verfügung.

Unser Ziel ist es, Sprachbarrieren zu überwinden und Kulturen einander näherzubringen.

Was unterscheidet uns von anderen Unternehmen?

DeepL (früher Linguee) wurde von Entwicklern und Forschern gegründet. Wir sind führend im Bereich Artificial Intelligence und Deep Learning, haben die weltweit beste Übersetzungstechnologie entwickelt und werden die Qualität in den nächsten Jahren weiter steigern. Neuronale Netze setzen wir nicht nur dazu ein um Texte zu übersetzen, sondern auch um die international besten Wörterbücher zu schaffen und andere sprachliche Probleme zu lösen.

Wen wir suchen

Ein langer wissenschaftlicher Hintergrund im Bereich neuronaler Netze ist bei uns keine Voraussetzung, aber ein starkes eigenes Interesse und erste praktische Erfahrungen sollten vorhanden sein.

Im Gegensatz zu anderen AI-Forschungseinrichtungen verbessern wir aktiv die Struktur und mathematische Optimierung der neuronalen Netze. Daher legen wir viel Wert auf ein tiefes Verständnis dessen, was innerhalb neuronaler Netze passiert, und deren mathematischer Optimierung.

Allgemeine Programmiererfahrung sollte auch vorhanden sein. Du solltest auch Erfahrung mit mindestens einem Deep Learning Framework gesammelt haben.

Zusammengefasst: Wir suchen nach außergewöhnlich guten Forscher/innen die viel lernen möchten und Spaß daran haben dem Computer einzigartige Dinge beizubringen.

Deine Aufgaben

Du forschst mit unserem Team auf höchstem Niveau an neuronalen Übersetzungsnetzwerken, entwickelst Verbesserungen und probierst diese aus
Du entwickelst weitere revolutionäre AI-Technologien für andere, kommende Projekte in der Sprachverarbeitung

Was wir Dir bieten

Forschung und Programmierung an topaktuellen Problemen
Ein kleines, effektives und extrem gutes Team mit viel Vertrauen und sehr kurzen Entscheidungswegen. Die Entscheider sind bei uns selbst Forscher/Entwickler
Viel Entwicklungspotential in einem der zukunftsträchtigsten Bereiche: Neuronale Netze, Deep Learning, AI, Big Data, Natural Language Processing und mehr
Arbeit an einem Produkt, das bereits jetzt mehr als 100 Millionen Menschen nutzen
Eine sinnvolle Arbeit: Wir reißen weltweit Sprachbarrieren ein und bringen damit verschiedene Kulturen einander näher
Ein schönes Büro in Köln und viel Flexibilität

Was Du mitbringen solltest

Ein extrem gutes mathematisches Verständnis und Spaß an der Lösung schwieriger Probleme
Master/Diplom oder Promotion in Mathematik, Physik oder Informatik
Programmiererfahrung in mindestens zwei Programmiersprachen, besonders wünschenswert Python oder C++
Erste Erfahrung im Umgang mit modernen Machine-Learning-Frameworks wie z.B. TensorFlow
Hohe Eigenmotivation und ein starkes Interesse an neuronalen Netzen (durch Online-Vorlesungen, selbstständig durchgeführte Projekte oder ähnliches)
Viel Interesse an neuen Dingen, beispielsweise neuen Programmiersprachen, neuen APIs, neuen Technologien bei maschinellem Lernen, ...
Sehr gute Deutsch- sowie gute Englischkenntnisse, Kenntnisse in anderen Sprachen sind vorteilhaft

Wir freuen uns auf Deine Bewerbung!",-1,DeepL GmbH,Cologne,"Cologne, Germany",51 to 200 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist (m/w/d),-1,"Data Scientist (m/w/d)


reboot ist ein IT-Dienstleistungsunternehmen mit Lösungen und Produkten rund
um die Internet- und Informationstechnologie. Unsere Flexibilität und unsere Leidenschaft

für Prozesse leben wir jeden Tag! Unsere Stärke ist unsere Diversität.
Unser Anspruch: Niemals stillstehen. Wir sind IT Spezialisten für „schwer“ und „kompliziert“.

Unser wichtigstes Kapital – unsere Mitarbeiter.

Ihr Profil

Studium in Data Science, der Informatik oder vergleichbar erfolgreich abgeschlossen, idealerweise als Master oder mit einem Diplom
Branchenkenntnisse in der Maschinen- oder Automobilindustrie
Erfahrungen mit Themen aus dem Bereich Big Data oder Business Intelligence
(z.B. Konkrete Projekte, Forschungserfahrung)
Kenntnisse in Bereich Artificial Intelligence und maschinellem Lernen
Erfahrungen mit Python, SQL, NoSQL oder ähnliches
Wissenschaftliche Denk- und Arbeitsweise
Gute Kommunikationsfähigkeit, eigenständige Arbeitsweise und Teamorientierung
Fließende Englischkenntnisse in Wort und Schrift
Hohe Leistungsbereitschaft und Durchsetzungsfähigkeit
Strukturierter und analytischer Arbeitsstil

Ihre Aufgaben

Auf- und Ausbau Big Data Environment zur kontinuierlichen Beschaffung von Prozessdaten
Identifikation, Konzeption und Umsetzung von High-Potential Use Cases der
Data Science / Machine Learning / KI
Planung, Erstellung und Durchführung von Data Science Projekten
Auswahl, Test und Implementierung von statistischen Modellen und Algorithmen
für spezifische Anwendungsfälle
Unterstützung der Projektteams Datenanalyse
Identifikation und Visualisierung komplexer Zusammenhänge und Muster
in strukturierten und unstrukturierten Daten
Erstellung und Operationalisierung wiederverwendbare analytische Modelle

Es erwartet Sie ein interessantes und herausforderndes Aufgabengebiet innerhalb unserer international aktiven Kunden.
Wir freuen uns über Ihre aussagekräftige Bewerbung unter Angabe Ihres frühesten
Eintrittstermins und Ihrer Gehaltsvorstellung


Jetzt Per Mail bewerben

Schritfliche Bewerbungen an

reboot GmbH
HR Development
Augustaanlage 22

68165 Mannheim",-1,Reboot (Germany),Mannheim,"Mannheim, Germany",1 to 50 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Data Scientist (m/w/d),-1,"Einsatz zeigen. Mit Leistung überzeugen.

Unser Geschäftsbereich Unternehmenssteuerung hat sich als Ziele die Etablierung eines ganzheitlichen Steuerungsmodells als Grundlage für die übergreifende Steuerung der DAK-Gesundheit, das Entwickeln der übergeordneten Strategie unter Einbezug politischer Entscheidungen, die Vertretung der sozial- und gesundheitspolitischen Interessen der DAK-Gesundheit sowie die Unterstützung anderer Bereiche bei der Entscheidungsfindung durch Prognosemodelle und Potenzialberechnungen als serviceorientierter Dienstleister gesetzt.

In den Bereichen Unternehmensentwicklung und Services und Kompetenzteam werden die übergeordnete Strategie unter Einbezug politischer Entscheidungen entwickelt und auch im Rahmen von Projekten erfolgt hier die Bearbeitung prioritärer und/oder akuter geschäftsbereichsweiter und -übergreifender Themen.

Sind Sie auf der Suche nach einer neuen Herausforderung, die zu Ihnen passt? Dann unterstützen Sie uns in unserer Zentrale in Hamburg als

Data Scientist (m/w/d)

Was Sie erwartet:
Mit dem richtigen Blick identifizieren Sie Einsparpotenziale basierend auf Datenanalysen in verschiedenen Leistungsarten unter Berücksichtigung von Steuerungsmöglichkeiten.

Sie führen multivariate Analysen strukturierter, teilstrukturierter sowie unstrukturierter Massendaten (insbes. Data Mining) durch.

Des Weiteren nehmen Sie Datenextraktion und Datenaggregation vor und bereiten interne und externe Unternehmensdaten auf und visualisieren die Analyseergebnisse.

Weiterhin entwickeln Sie Datenmodelle mit modernsten Technologien und nutzen die Fähigkeiten aktueller Künstlicher Intelligenz.

Fachkundig ermitteln Sie Einsparpotentiale basierend auf Wirkmechanismen unter Berücksichtigung wirtschaftlicher Aspekte in übergreifender Zusammenarbeit mit unserem Geschäftsbereich Leistung.

Sie sind in der Lage, Realisierungspotenzial für einzelne Maßnahmen in übergreifender Zusammenarbeit mit unserem Geschäftsbereich Leistung abzuschätzen.

Mit Ihrem Know-how übernehmen Sie die Konzeption, Durchführung und Auswertung von Projekten.

Was wir erwarten:
Sie verfügen über ein abgeschlossenes Hochschulstudium der Fachrichtung Mathematik, Wirtschaftsinformatik, Wirtschaftswissenschaften oder einer vergleichbaren Fachrichtung, idealerweise mit dem Schwerpunkt Data Science oder Big Data.

Kenntnisse von intern verwendeten Datenbankstrukturen, IT-Systemen und Programmiersprachen sowie graphische Darstellung von Datensätzen bringen Sie ebenso mit wie Kenntnisse zu Aufbau, Design und Durchführung von Datenbankanfragen.

Ebenso verfügen Sie über mehrjährige Data-Science-Erfahrung mit Schwerpunkt Maschinelles Lernen und Multivariate sowie Multivariable Datenanalyse, inklusive Storytelling.

Sie können auf nachgewiesene Erfahrung in der Anwendung einschlägiger Analytik-Tools auf großen (poly-)strukturierten Datenmengen, wie z. B. SAS, R oder Python zurückgreifen.

Idealerweise verfügen Sie über ein gutes Verständnis des GKV Marktes, insbesondere im Hinblick auf Trends und zukünftige Herausforderungen.

Zu Ihren Stärken gehören neben Ihrem wirtschaftlichen Verständnis, Ihrer hohen Flexibilität und Überzeugungskraft Ihre hohe Eigenverantwortung und Motivation und Ihre selbständige Erarbeitung von Lösungsvorschlägen mit konkreten Entscheidungsempfehlungen.

Ihre ausgeprägten analytischen Fähigkeiten und Ihr Transfervermögen sowie Ihr zukunftsgerichtetes unternehmerisches und strategisches Denken runden Ihr Profil ab.

Unser Angebot für Ihr Engagement

Die DAK-Gesundheit ist ein ausgezeichneter Arbeitgeber, der auf die Bedürfnisse seiner Beschäftigten eingeht. Sie profitieren von variablen Arbeitszeiten und ausreichend Urlaubstagen, die über den gesetzlich festgelegten Urlaubsanspruch hinausgehen. Um Sie in Ihrer individuellen Lebensplanung zu unterstützen, bieten wir auch unterschiedliche Modelle zur Teilzeitbeschäftigung an. Unser Tarifvertrag bietet eine attraktive Bezahlung, eine finanzielle Sicherung im Alter sowie weitere Sozialleistungen.

Bitte geben Sie in Ihrer Bewerbung auch Ihre Gehaltsvorstellung und Ihren frühestmöglichen Eintrittstermin an.",4.0,"DAK-Gesundheit
4.0",Hamburg,"Hamburg, Germany",10000+ employees,1774,Government,Insurance Carriers,Insurance,$10+ billion (USD),-1
